时间,时,分,秒,原点纬度,原点经度,原点海拔,车轮角度,玉米杆东,玉米杆北,玉米杆天,19f角度,1af角度,航向角,玉米杆1东,玉米杆1北
16:32:28,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.70837,-2.303968,257.8058,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:28,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.71508,-2.309531,257.8058,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:28,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.75093,-2.307865,257.8667,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.79501,-2.313107,257.8667,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.81103,-2.313954,257.9112,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.85204,-2.319093,257.9112,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.85204,-2.319093,258.001,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.89318,-2.32452,258.001,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.90613,-2.326614,257.7059,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.94006,-2.332732,257.7059,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.93617,-2.331933,257.3527,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.92398,-2.329963,257.3527,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.82053,-2.329247,256.6999,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.85274,-2.330306,256.6999,18.62602,-2.357212,-2.357212,23.62602,-4.761354
16:32:29,8,32,28,31.4327234694901,120.275946154639,5.90047371108085,18.62602,18.85704,-2.329937,256.3202,18.62602,-2.357212,-2.357212,23.62602,-4.761354
