时间,时,分,秒,原点纬度,原点经度,原点海拔,车轮角度,玉米杆东,玉米杆北,玉米杆天,19f角度,1af角度,航向角,玉米杆1东,玉米杆1北
15:36:13,7,36,5,-0.0928407981991768,0.0292020756751299,0.0064239501953125,-0.7979642,-0.0911841,0.02920531,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0928407981991768,0.0292020756751299,0.0027618408203125,-0.7979642,-0.09066639,0.02919707,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0912403464317322,0.0289452988654375,0.0027618408203125,-0.7979642,-0.0906536,0.02894571,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0912403464317322,0.0289452988654375,0.0133285522460938,-0.7979642,-0.09061909,0.02894576,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0929482206702232,0.0289283841848373,0.0133285522460938,-0.7979642,-0.09060124,0.02892281,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0929482206702232,0.0289283841848373,0.0176620483398438,-0.7979642,-0.09129152,0.02892572,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,5,-0.0923070833086967,0.0291087087243795,0.0176620483398438,-0.7979642,-0.08826894,0.02912807,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0923070833086967,0.0291087087243795,0.0193710327148438,-0.7979642,-0.09082296,0.02910672,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.092149555683136,0.0283865686506033,0.0193710327148438,-0.7979642,-0.0891123,0.02837734,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.092149555683136,0.0283865686506033,0.0157012939453125,-0.7979642,-0.08862911,0.02840153,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0910445898771286,0.0287664905190468,0.0157012939453125,-0.7979642,-0.08921532,0.02876327,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0910445898771286,0.0287664905190468,0.0125579833984375,-0.7979642,-0.08804185,0.02877733,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0922826007008553,0.0298090055584908,0.0125579833984375,-0.7979642,-0.09148876,0.02980988,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0922826007008553,0.0298090055584908,0.00951385498046875,-0.7979642,-0.09031527,0.02981374,503.1968,0,0,-0.2853435,0,0
15:36:13,7,36,6,-0.0931245759129524,0.0297849252820015,0.00951385498046875,-0.7979642,-0.09146788,0.02978215,503.1968,0,0,-0.2853435,0,0
